model,display,type,init,pipeline,fraction,n_train_tiles,seed,f1_pres,f1_pres_val,f1_8cls,accuracy,best_epoch,best_C,probe,run_dir,f1_ALDE,f1_ARCA,f1_BIRC,f1_DRYI,f1_LICH,f1_MOSS,f1_PETF,f1_RUBC,f1_SEDG,f1_TUSS,f1_WILL
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.5,24639,0,0.47497782694230745,0.48342022882252084,0.6530945120456727,0.7104216388225935,11,0.001,interne_run,sota_screening/mhsa/runs/frac050_seed0,0.9566805845511482,0.0,0.8326326326326327,0.0,0.6437144662034112,0.4894982497082847,0.4946351931330472,0.0,0.6024978466838932,0.743952802359882,0.46114432109308284
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.5,24639,1,0.4716011557728706,0.47096218408566287,0.648451589187697,0.7074667575860893,14,0.001,interne_run,sota_screening/mhsa/runs/frac050_seed1,0.9517349334724758,0.0,0.8267636951687891,0.0,0.6477526299011794,0.4844574780058651,0.5042194092827004,0.0,0.6052801030264006,0.7465262542050607,0.4208782104391052
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.5,24639,2,0.4801723767041972,0.46737446134489835,0.6602370179682711,0.7136606432549153,8,0.001,interne_run,sota_screening/mhsa/runs/frac050_seed2,0.9580712788259959,0.0,0.8349456467537648,0.0,0.6428341384863124,0.4868421052631579,0.5265392781316348,0.0,0.6112772319521572,0.7402923372213199,0.48109412711182625
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.7,34497,0,0.4748140650816304,0.4828155322420675,0.6528693394872418,0.7074099329469258,9,0.001,interne_run,sota_screening/mhsa/runs/frac070_seed0,0.9560439560439561,0.0,0.8229135205879392,0.0,0.6484104501101668,0.4880952380952381,0.5181451612903226,0.0,0.6066039798819156,0.7417729024607175,0.4409695074276779
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.7,34497,1,0.4772484663409733,0.474193629379339,0.6562166412188383,0.7106489373792476,11,0.001,interne_run,sota_screening/mhsa/runs/frac070_seed1,0.9531005732152162,0.0,0.8306857027950935,0.0,0.6417484954070319,0.49074074074074076,0.5123422929237521,0.0,0.6059695082671248,0.7454005934718101,0.4697452229299363
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.7,34497,2,0.4828094439010757,0.46588366890845145,0.6573974681225998,0.7116717808841914,11,0.001,interne_run,sota_screening/mhsa/runs/frac070_seed2,0.9579304938594199,0.05172413793103448,0.8361809045226131,0.0,0.6459747817652765,0.479035037334865,0.5284423179160022,0.0,0.6136560069144339,0.7392729439809297,0.4586872586872587
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,1.0,49281,0,0.4660685133815736,0.48571875297035005,0.6408442058996637,0.6991703602682123,18,0.001,interne_run,sota_screening/mhsa/runs/frac100_seed0,0.9543546694648478,0.0,0.819438877755511,0.0,0.645998101866498,0.48727272727272725,0.48013816925734026,0.0,0.5941278065630398,0.7322633868306585,0.4131599081866871
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,1.0,49281,1,0.47443722626936347,0.4762938108624208,0.6523511861203748,0.7092851460393227,11,0.001,interne_run,sota_screening/mhsa/runs/frac100_seed1,0.9538702111024238,0.0,0.8323081577089846,0.0,0.6513095613758283,0.48623853211009177,0.507446221731936,0.0,0.6059707812830828,0.7440672874737159,0.43759873617693523
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,1.0,49281,2,0.465719564544947,0.4738283068614575,0.636127113113709,0.6963859529491988,19,0.001,interne_run,sota_screening/mhsa/runs/frac100_seed2,0.9552083333333333,0.03389830508474576,0.817773339990015,0.0,0.6321210170582555,0.480955088118249,0.4625071551230681,0.0,0.5940124919233254,0.7324409685667017,0.41399851079672373
vitb16_scratch_old,ViT-B/16 IN-Scratch,ft_old,aléatoire,sota_screening,0.01,492,0,0.23126138418481837,0.21103593531413314,0.31798440325412514,0.42232071826343903,21,0.1,interne_run,sota_screening/scratch/runs/frac001_seed0,0.5951903807615231,0.0,0.5544602851323829,0.0,0.47989347536617843,0.39842089280291526,0.0036330608537693005,0.0,0.12275903980553024,0.38173094011018305,0.007787151200519144
