model,display,fraction,n_train_tiles,n_seeds,ALDE,ALDE_std,ARCA,ARCA_std,BIRC,BIRC_std,DRYI,DRYI_std,LICH,LICH_std,MOSS,MOSS_std,PETF,PETF_std,RUBC,RUBC_std,SEDG,SEDG_std,TUSS,TUSS_std,WILL,WILL_std
simdinov2_vitb16_lora_r8_rslora,SimDINOv2-B LoRA r8 (rsLoRA),1.0,49281,3,0.9548178145515864,0.003412549151837584,0.0,0.0,0.8418252832608312,0.0019887924372540985,0.0,0.0,0.6382365033869434,0.007225509159197167,0.5136986325273167,0.003806060712038691,0.4857470657391807,0.022066287873861327,0.0,0.0,0.5911068763873093,0.009410370123979247,0.7364992181107963,0.005731319136994751,0.46683739700096033,0.013246908009157935
simdinov2_vitb16_lora_r8_s2,SimDINOv2-B LoRA r8 (scaling 2),1.0,49281,3,0.9544974482882317,0.003513970844270033,0.0,0.0,0.8419486091046657,0.0011363023744563987,0.0,0.0,0.6371051185595774,0.003975412603558697,0.5117206249126648,0.002588253348718105,0.4906344077381923,0.016588652201155542,0.0,0.0,0.5934604590687897,0.008092485127831651,0.738073374721738,0.004281575254043634,0.46927830646632535,0.008865469320405446
simdinov2_vitb16_mhsa,SimDINOv2 ViT-B/16 MHSA,1.0,49281,3,0.9536423656064267,0.0034988708592703444,0.017543859649122806,0.0,0.8333574119178718,0.002663038693125658,0.0,0.0,0.6202046623896674,0.006906244925630568,0.5059407828791763,0.004601752761469211,0.4550254566942722,0.012604496064174247,0.0,0.0,0.5858862715455592,0.010746713361928083,0.724417875249426,0.004010707626531902,0.4634439990778884,0.014629718593458784
simdinov2_vitb16_norm_tuning,SimDINOv2-B NormTuning,1.0,49281,3,0.9553921519962413,0.0010690285704380471,0.0,0.0,0.8368785846264298,0.0005818926123172432,0.0,0.0,0.6373476576114415,0.0009317737111340034,0.5010442900199972,0.0025599140687967694,0.5117775550587207,0.00389906938932833,0.0,0.0,0.6009551536997823,0.00216027331644464,0.7348329568859171,0.00024623111310273906,0.4809623362186079,0.003547295850797533
simdinov2_vitl16_lora,SimDINOv2 ViT-L/16 LoRA r=8,1.0,49281,3,0.9549483453479081,0.004068354664270001,0.011695906432748537,0.010128952091046065,0.8486882602763343,0.0049486540451513525,0.0,0.0,0.6338353908985772,0.011061626341948079,0.528021934734551,0.01036205769955366,0.5046408942111166,0.023083371652065497,0.0,0.0,0.6101780287924007,0.012633480897629595,0.7542520289926579,0.004693066423605289,0.47100752596694195,0.014432953048059529
vitb16_full_old,ViT-B/16 IN-Full,0.01,492,3,0.8454255531968436,0.07542376560132365,0.0,0.0,0.7922740796253857,0.03457079465726622,0.0,0.0,0.591097538551493,0.02400090869030369,0.408319811487639,0.053607283145473604,0.3519341096437718,0.05533375805036814,0.0,0.0,0.5228950733639234,0.00834572305997203,0.6864571193820478,0.02750264773228631,0.37396953609166445,0.08404413896006288
vitb16_full_old,ViT-B/16 IN-Full,0.05,2463,3,0.9523879314742572,0.005845561012215745,0.0,0.0,0.8154974711886492,0.021461226440804924,0.0,0.0,0.6135172101026343,0.014333809838375969,0.44189917389284467,0.020842053490253372,0.45329631161234424,0.05392129859162843,0.0,0.0,0.6038994536315211,0.00529076159383944,0.7268185843371083,0.008878822291533682,0.43913110243862924,0.06644576600400377
vitb16_full_old,ViT-B/16 IN-Full,0.1,4927,3,0.955436197106511,0.00404799372955853,0.0,0.0,0.8228474715610963,0.0033899504720497297,0.0,0.0,0.6263276815786191,0.010248323796803065,0.47170798386026425,0.020372221004428596,0.4863278341133633,0.01526647422169943,0.0,0.0,0.6048758095243202,0.01106189529696564,0.7363872348781871,0.004534770168218296,0.45297354536453094,0.03442165751848713
vitb16_full_old,ViT-B/16 IN-Full,0.25,12320,3,0.95582247565277,0.001964541700515075,0.0,0.0,0.8199467584484799,0.010026124807131963,0.0,0.0,0.6334927909975884,0.001294079574890592,0.4727764156967922,0.0175970707361132,0.4933167654220285,0.01029684859142985,0.0,0.0,0.6067249531306124,0.01632505697542127,0.7503540677390133,0.003624411098262037,0.45033889675379674,0.03816383449531586
vitb16_full_old,ViT-B/16 IN-Full,0.5,24639,3,0.9574911137569607,0.0022281096209363924,0.0,0.0,0.8193570897964376,0.016936747397146835,0.0,0.0,0.6348082684395191,0.01423651628110287,0.4799418232318898,0.004183050642319069,0.49307509766103114,0.026240417211756014,0.0,0.0,0.594309754999829,0.019918707388299782,0.7408953018865952,0.014162095744898701,0.44313294036122003,0.05154559245439903
